start;open;high;low;close;volume;end;quote asset volume;number trades;taker buy base asset volume;taker buy quote asset volume
1639281600000;49279.09;49329.99;48800.14;48851.37;7014.075;1639285199999;344032447.77945;81310;2574.131;126239860.88979
1639285200000;48848.79;49053.19;48807.49;48967.66;3999.572;1639288799999;195790643.96580;56310;2181.401;106794272.84572
1639288800000;48967.66;49223.15;48925.02;49147.21;3699.998;1639292399999;181545511.60061;50989;2095.887;102844594.21781
1639292400000;49147.21;49341.92;49063.51;49276.18;3794.260;1639295999999;186743657.14803;55427;1855.604;91343460.00265
1639296000000;49276.19;49360.00;48930.00;48952.24;5228.960;1639299599999;256841887.78570;74952;2268.622;111463574.93495
1639299600000;48952.25;49141.63;48688.88;48804.94;6923.810;1639303199999;338661070.41594;88723;3147.324;153992074.60072
1639303200000;48804.94;48949.00;48616.16;48909.69;7819.159;1639306799999;381499967.32339;91141;4193.800;204667523.97295
1639306800000;48909.70;49287.39;48815.90;49103.88;8540.616;1639310399999;419114184.87840;97733;4472.914;219526822.77803
1639310400000;49103.90;49619.26;49088.29;49500.07;13444.620;1639313999999;664278182.58045;150061;7378.969;364529611.24591
1639314000000;49500.08;49898.87;49481.97;49778.83;11450.797;1639317599999;568706061.94130;136404;5698.845;283096869.72451
1639317600000;49778.83;49927.23;49474.93;49836.01;10499.455;1639321199999;522189836.97488;138297;5005.339;248977447.25747
1639321200000;49836.01;49898.45;49555.00;49609.38;6542.991;1639324799999;325193450.80422;91694;3243.417;161206705.12415
1639324800000;49609.39;49899.63;49500.00;49857.87;6897.216;1639328399999;342607629.56336;97359;3672.323;182471529.46808
1639328400000;49857.87;50483.07;49747.70;50233.47;22728.644;1639331999999;1138790099.06406;250594;12339.807;618469558.84063
1639332000000;50233.48;50768.00;50233.47;50461.98;13194.506;1639335599999;666520099.84018;183868;6801.404;343599467.57799
1639335600000;50461.99;50589.43;50118.83;50214.67;7739.857;1639339199999;389605037.58172;95421;3387.480;170511482.87927
1639339200000;50214.67;50538.86;50150.33;50266.30;5624.571;1639342799999;283263500.29367;78515;3198.678;161077359.46881
1639342800000;50263.09;50315.65;49863.56;49952.44;6394.406;1639346399999;320294965.75473;83676;2933.941;146990917.57197
1639346400000;49952.44;50292.15;49915.49;50262.87;4711.614;1639349999999;235878562.49837;70627;2674.136;133886250.80707
1639350000000;50262.88;50356.10;49951.00;50057.01;5194.605;1639353599999;260592261.39753;74614;2619.745;131433416.84916
1639353600000;50057.02;50180.00;49525.00;49630.94;9543.213;1639357199999;475464189.52431;113445;4471.462;222788640.41932
1639357200000;49630.94;49630.94;48519.06;48580.67;20540.322;1639360799999;1008174137.83801;225416;9302.591;456613860.85860
1639360800000;48582.22;48867.99;48411.47;48756.34;10620.926;1639364399999;517234761.20111;126791;5704.561;277843009.68993
1639364400000;48756.34;49074.84;48674.90;48852.97;7755.915;1639367999999;379043926.78775;89382;4166.476;203633257.34241
1639368000000;48852.96;49098.61;48724.18;49011.00;6725.226;1639371599999;328983878.00759;72379;3746.754;183337947.20091
1639371600000;49011.08;49329.45;48825.28;49221.11;8501.588;1639375199999;417353079.93520;93102;4393.206;215705527.85773
1639375200000;49220.82;49295.00;48862.19;48922.00;6001.420;1639378799999;294560880.61804;81155;2848.960;139853693.88502
1639378800000;48922.00;48980.73;48555.72;48731.03;9966.552;1639382399999;485953725.73779;109369;4967.616;242250193.48531
1639382400000;48731.02;49160.00;48078.20;48994.26;16213.836;1639385999999;791057488.65132;180216;7957.446;388465151.81849
1639386000000;48994.26;49010.00;48687.88;48844.66;6143.804;1639389599999;300001606.69115;79672;3029.597;147905728.02228
1639389600000;48844.65;48899.99;48468.00;48680.01;7172.322;1639393199999;349214932.91418;91742;3540.092;172394214.88644
1639393200000;48680.00;48888.88;48555.08;48825.17;5714.374;1639396799999;278570314.30632;77546;3103.772;151337206.41202
1639396800000;48824.53;48990.57;48530.00;48579.78;8641.871;1639400399999;421202556.99370;105408;4216.737;205552332.91942
1639400400000;48579.79;48631.86;48155.00;48415.59;14494.283;1639403999999;701726314.34414;169395;7214.837;349307940.05420
1639404000000;48415.59;48418.99;47699.70;47941.52;21057.588;1639407599999;1010113305.52213;251956;10433.663;500518252.21149
1639407600000;47941.53;47947.96;47000.00;47239.07;29177.653;1639411199999;1384278851.14153;333150;13862.584;657776131.02136
1639411200000;47239.07;47549.00;46572.01;47141.09;35713.108;1639414799999;1682144027.69786;393977;17881.571;842600509.96269
1639414800000;47141.09;47900.00;47056.24;47492.46;20883.467;1639418399999;992266508.21715;217675;11297.667;536912601.45583
1639418400000;47495.32;47668.78;47300.33;47434.59;8086.651;1639421999999;383842897.56700;95939;3924.274;186285581.78483
1639422000000;47434.59;47440.40;45600.00;46699.36;47937.437;1639425599999;2222221302.01249;531296;22158.634;1027126830.27282
1639425600000;46699.36;46931.64;46306.79;46630.70;17619.451;1639429199999;821654432.13171;217439;8288.266;386537806.91020
1639429200000;46631.50;46878.00;46208.55;46760.07;11367.447;1639432799999;528843836.59675;153381;5608.734;261016644.50747
1639432800000;46759.84;47315.13;46646.89;46865.73;10467.693;1639436399999;492120691.52185;148877;5379.898;252969727.72114
1639436400000;46865.73;47050.38;46547.60;46679.93;8205.175;1639439999999;383797705.95385;105592;4096.495;191667854.11944
1639440000000;46679.93;47200.00;46255.60;46970.00;14722.217;1639443599999;688481757.37480;171772;7448.443;348356308.87775
1639443600000;46970.01;47100.00;46566.66;46855.01;9174.544;1639447199999;429624728.94676;106520;4589.588;214907118.30897
1639447200000;46855.01;47049.95;46661.00;47003.82;6495.441;1639450799999;304342895.50729;85384;3577.158;167639778.71045
1639450800000;47003.81;47098.71;46730.48;46937.26;5411.887;1639454399999;253928718.66081;85253;2699.167;126656854.43387
1639454400000;46937.26;47150.00;46843.81;46962.99;6248.730;1639457999999;293842322.91448;89672;3075.184;144628050.11312
1639458000000;46962.99;47119.44;46650.11;46677.99;7085.833;1639461599999;332232015.34120;86538;3439.361;161321719.78446
1639461600000;46678.00;46832.41;46309.44;46656.90;10888.022;1639465199999;507155718.75802;135349;5605.257;261155026.50732
1639465200000;46656.89;47048.04;46528.95;46981.79;8514.351;1639468799999;398460493.34672;111546;4488.575;210081618.58910
1639468800000;46981.78;47496.00;46939.13;47434.16;13633.325;1639472399999;643416264.33047;168566;7071.020;333791628.71028
1639472400000;47434.17;47468.66;46768.01;46820.43;13035.392;1639475999999;614321276.82686;148235;5843.859;275404097.72172
1639476000000;46818.66;47368.00;46780.75;47316.00;9075.194;1639479599999;427308162.79820;124460;5166.752;243256500.66770
1639479600000;47316.00;47762.90;47155.35;47599.90;10183.959;1639483199999;482785602.70402;137210;5177.793;245560230.49595
1639483200000;47599.90;47958.62;47476.01;47483.53;13870.237;1639486799999;661875940.89736;175445;7030.900;335596974.11248
1639486800000;47483.54;47647.94;46960.00;47154.28;12439.215;1639490399999;587772249.43238;162153;6067.003;286717443.63779
1639490400000;47157.26;47315.48;46803.00;47262.72;12832.367;1639493999999;603671004.04499;166241;6448.246;303394129.05429
1639494000000;47260.24;47498.00;46590.00;46833.09;17065.412;1639497599999;803506391.68345;197734;7612.263;358577418.50688
1639497600000;46833.08;47134.88;46530.00;46725.43;14658.670;1639501199999;686960731.89545;193384;7456.005;349472978.25557
1639501200000;46725.43;47069.20;46535.07;46614.11;9148.217;1639504799999;428343751.39215;127046;4836.340;226475625.92651
1639504800000;46614.11;46933.48;46435.25;46639.90;9705.918;1639508399999;452827229.87756;137015;4750.050;221635807.83064
1639508400000;46639.89;47062.98;46622.80;46844.02;8409.550;1639511999999;394299707.55628;107820;4388.394;205775227.02115
